Startup_ID,Name,Sector,Sub-Sector,City,State,Founded_Year,Founder_Name,Funding_Stage,Investment_Type,Amount_Raised,Investors_Count,Lead_Investor,Co-Investors,Valuation_Post_Funding,Revenue,Profitability,Number_of_Employees,Tech_Stack,Primary_Product,Customer_Base_Size,Growth_Rate,Exit_Status,Acquisition_Details,Funding_Date,Pitch_Deck_Link,Social_Media_Followers,Competitors,Patents,ESG_Score,Diversity_Index,Net_Impact_Score
eb3ac53f,Startup_14,EdTech,Sub_5,Pune,Maharashtra,2005,Founder_117,Series B,Convertible Note,6137037,10,Investor_456,Investor_836,82660993,2832470,Yes,441,AI,Product_12,39478,28.42,Yes,,2017-11-18,http://example.com/pitchdeck/14,84736,Competitor_3,13,1.83,39.69,2.5
e6199d28,Startup_15,FinTech,Sub_2,Delhi,Telangana,2000,Founder_124,Series A,Convertible Note,8500088,5,Investor_354,Investor_909,72405267,1758907,No,462,AR/VR,Product_17,55827,43.56,Yes,,2022-08-10,http://example.com/pitchdeck/15,77064,Competitor_74,12,9.82,37.49,2.04
a38916b4,Startup_16,AgriTech,Sub_3,Delhi,Karnataka,2001,Founder_819,Series A,Convertible Note,5886489,9,Investor_196,Investor_789,56847574,2940892,No,327,IoT,Product_43,37729,47.9,No,,2015-11-11,http://example.com/pitchdeck/16,29637,Competitor_47,11,6.78,33.87,9.83
9c71bffd,Startup_17,HealthTech,Sub_8,Pune,Tamil Nadu,2002,Founder_726,Series C,Grant,2387374,2,Investor_96,Investor_770,84143236,3303768,Yes,224,AR/VR,Product_36,56172,18.5,No,,2022-01-21,http://example.com/pitchdeck/17,57354,Competitor_82,2,4.37,49.12,5.8
2df9b5af,Startup_18,EdTech,Sub_6,Mumbai,Maharashtra,2001,Founder_675,IPO,Debt,6416365,6,Investor_90,Investor_535,3966582,4328859,Yes,455,Big Data,Product_44,54532,26.93,No,,2023-03-18,http://example.com/pitchdeck/18,66242,Competitor_85,11,1.22,76.0,5.16
78e298e6,Startup_19,HealthTech,Sub_5,Chennai,Maharashtra,2009,Founder_669,Series D,Debt,8828450,1,Investor_380,Investor_734,82821406,1047997,No,63,AI,Product_46,36734,35.37,Yes,,2022-08-11,http://example.com/pitchdeck/19,57488,Competitor_86,19,5.97,56.94,6.11
75102048,Startup_20,FoodTech,Sub_9,Hyderabad,Maharashtra,2004,Founder_197,Series B,Equity,933246,4,Investor_299,Investor_977,9696528,359369,No,69,IoT,Product_18,51082,22.49,Yes,Acquirer_511,2018-04-13,http://example.com/pitchdeck/20,20621,Competitor_50,5,6.52,35.25,1.97
02efbbe2,Startup_21,EdTech,Sub_8,Mumbai,Telangana,2004,Founder_895,Series D,Equity,7328846,5,Investor_79,Investor_586,45904727,332395,Yes,195,Big Data,Product_6,79823,21.88,No,,2015-12-18,http://example.com/pitchdeck/21,50180,Competitor_65,7,9.66,53.81,2.11
791d5d39,Startup_22,AgriTech,Sub_3,Pune,Karnataka,2001,Founder_590,Series A,Convertible Note,3532731,9,Investor_125,Investor_1000,68251952,3425195,No,241,Cloud,Product_8,24847,20.96,No,,2023-09-14,http://example.com/pitchdeck/22,81558,Competitor_68,18,6.36,46.93,5.02
61496c58,Startup_23,Retail,Sub_3,Delhi,Delhi,2013,Founder_23,Series A,Equity,9845349,2,Investor_125,Investor_583,86108927,553442,No,283,IoT,Product_22,38975,38.19,Yes,,2018-11-24,http://example.com/pitchdeck/23,2658,Competitor_87,1,2.62,62.1,8.89
096969b7,Startup_24,HealthTech,Sub_9,Delhi,Delhi,2003,Founder_462,Series B,Grant,7722948,10,Investor_457,Investor_870,41047820,1368957,Yes,13,Cloud,Product_18,68360,39.21,No,,2019-11-24,http://example.com/pitchdeck/24,61898,Competitor_73,18,8.91,68.44,8.32
fa6f167c,Startup_25,Retail,Sub_7,Hyderabad,Delhi,2004,Founder_923,Series D,Debt,1630750,3,Investor_429,Investor_630,26310628,557258,No,246,AI,Product_27,92662,23.55,Yes,,2018-11-27,http://example.com/pitchdeck/25,80286,Competitor_84,11,5.31,53.21,2.74
04656701,Startup_26,TravelTech,Sub_3,Mumbai,Maharashtra,2009,Founder_134,Seed,Convertible Note,9532773,10,Investor_170,Investor_510,53993023,4340612,No,210,Big Data,Product_29,99732,46.28,No,,2017-07-08,http://example.com/pitchdeck/26,26926,Competitor_16,15,6.68,51.25,9.35
2ed7e8bb,Startup_27,EdTech,Sub_9,Pune,Delhi,2003,Founder_168,Series C,Grant,6169954,4,Investor_164,Investor_977,95138955,1695218,No,223,AR/VR,Product_47,9020,11.03,Yes,,2017-07-11,http://example.com/pitchdeck/27,19312,Competitor_26,14,5.0,38.34,5.68
2b1ba44d,Startup_28,Retail,Sub_2,Chennai,Karnataka,2009,Founder_446,Series D,Debt,6930487,10,Investor_488,Investor_736,29507466,995535,Yes,340,AI,Product_20,4621,37.89,Yes,,2016-10-23,http://example.com/pitchdeck/28,29134,Competitor_36,15,7.94,69.1,9.65
b11dfb93,Startup_29,FinTech,Sub_9,Hyderabad,Delhi,2015,Founder_997,IPO,Convertible Note,5080540,5,Investor_100,Investor_933,64883035,3509654,No,34,Big Data,Product_9,73346,18.44,No,,2018-01-15,http://example.com/pitchdeck/29,78639,Competitor_78,8,7.03,49.59,5.16
cfa40bc3,Startup_30,Retail,Sub_8,Bangalore,Karnataka,2014,Founder_261,Series C,Debt,651650,10,Investor_77,Investor_869,52931244,2521057,Yes,248,AI,Product_48,43388,7.56,No,,2023-02-18,http://example.com/pitchdeck/30,73129,Competitor_86,8,5.53,62.26,6.47
a2968ee3,Startup_31,FinTech,Sub_6,Chennai,Delhi,2011,Founder_425,Series C,Equity,7805143,8,Investor_200,Investor_568,50008834,3133875,Yes,74,Big Data,Product_45,36646,32.88,No,,2020-07-01,http://example.com/pitchdeck/31,11140,Competitor_72,19,8.61,77.35,7.34
758ded93,Startup_32,EdTech,Sub_5,Chennai,Tamil Nadu,2015,Founder_44,Series C,Grant,2493088,9,Investor_29,Investor_521,65596350,2312033,Yes,294,AI,Product_5,59532,8.59,No,Acquirer_212,2019-06-06,http://example.com/pitchdeck/32,21364,Competitor_26,18,4.0,70.42,6.17
f2792e7e,Startup_33,HealthTech,Sub_5,Chennai,Telangana,2008,Founder_761,Series D,Grant,7969411,10,Investor_277,Investor_837,42111051,4824471,Yes,91,IoT,Product_2,57522,42.4,No,,2021-09-15,http://example.com/pitchdeck/33,98044,Competitor_43,10,6.85,64.28,8.28
0d3eb46b,Startup_34,AgriTech,Sub_4,Pune,Delhi,2010,Founder_582,Series B,Grant,5358991,4,Investor_234,Investor_620,35328352,220963,No,131,Blockchain,Product_26,48616,43.75,No,,2019-08-20,http://example.com/pitchdeck/34,86119,Competitor_67,20,5.31,22.14,5.02
3da2b39b,Startup_35,Retail,Sub_3,Bangalore,Telangana,2004,Founder_837,Series C,Grant,4133525,10,Investor_287,Investor_697,76774701,1101590,Yes,159,Cloud,Product_28,99826,49.05,No,,2017-11-05,http://example.com/pitchdeck/35,52831,Competitor_80,5,3.66,53.89,3.55
b74173bd,Startup_36,TravelTech,Sub_6,Chennai,Karnataka,2003,Founder_268,Series D,Grant,8495692,7,Investor_497,Investor_663,86029696,1294082,Yes,141,AR/VR,Product_45,50031,14.41,Yes,,2023-03-17,http://example.com/pitchdeck/36,27702,Competitor_42,20,8.95,32.14,5.79
f5652ec9,Startup_37,AgriTech,Sub_2,Pune,Tamil Nadu,2013,Founder_220,Series D,Convertible Note,6365023,8,Investor_87,Investor_507,71796811,4623616,No,459,AI,Product_42,47522,30.66,Yes,,2018-03-10,http://example.com/pitchdeck/37,33887,Competitor_35,5,4.22,47.06,5.36
9b133eef,Startup_38,FinTech,Sub_4,Bangalore,Telangana,2000,Founder_50,Series D,Convertible Note,560233,7,Investor_8,Investor_757,55867572,3876163,Yes,305,Cloud,Product_41,13185,34.05,Yes,Acquirer_699,2018-10-02,http://example.com/pitchdeck/38,14588,Competitor_33,20,3.69,38.03,5.95
1a8f12f7,Startup_39,AgriTech,Sub_10,Delhi,Delhi,2004,Founder_546,Seed,Convertible Note,921984,5,Investor_308,Investor_532,55695624,1319986,No,387,Big Data,Product_34,56601,26.57,No,,2016-05-11,http://example.com/pitchdeck/39,76865,Competitor_76,11,6.6,66.31,5.53
75e1d3d1,Startup_40,FinTech,Sub_1,Bangalore,Maharashtra,2017,Founder_10,Series D,Grant,9998407,2,Investor_236,Investor_754,72709839,356029,Yes,252,AI,Product_30,95890,47.85,Yes,,2023-11-23,http://example.com/pitchdeck/40,33445,Competitor_16,12,1.22,48.61,6.85
efc7c36e,Startup_41,AgriTech,Sub_1,Bangalore,Delhi,2014,Founder_83,Seed,Grant,5407823,1,Investor_388,Investor_643,72036089,4217129,Yes,401,IoT,Product_25,98841,48.91,No,,2022-04-23,http://example.com/pitchdeck/41,44546,Competitor_53,8,7.43,70.23,4.79
f5cdc64d,Startup_42,FoodTech,Sub_4,Chennai,Karnataka,2021,Founder_82,Series C,Convertible Note,321237,8,Investor_316,Investor_743,47956879,519328,Yes,355,AR/VR,Product_25,7063,31.84,No,,2016-01-24,http://example.com/pitchdeck/42,81773,Competitor_8,4,2.01,45.24,1.06
1503098f,Startup_43,HealthTech,Sub_10,Pune,Telangana,2020,Founder_12,Seed,Convertible Note,1482955,3,Investor_388,Investor_946,42578168,1232685,No,38,AI,Product_13,1967,23.35,Yes,Acquirer_325,2016-12-28,http://example.com/pitchdeck/43,98070,Competitor_5,3,3.83,28.07,2.83
c74e87f6,Startup_44,Retail,Sub_6,Mumbai,Delhi,2018,Founder_511,Seed,Convertible Note,5547728,6,Investor_368,Investor_579,65401382,3165566,No,148,Big Data,Product_28,84007,13.42,Yes,,2019-04-22,http://example.com/pitchdeck/44,56049,Competitor_85,10,6.1,25.37,1.88
31ec4f9b,Startup_45,AgriTech,Sub_1,Mumbai,Telangana,2011,Founder_899,Series B,Equity,634784,3,Investor_21,Investor_654,9575787,1307309,Yes,325,AR/VR,Product_24,10225,14.47,Yes,,2018-11-14,http://example.com/pitchdeck/45,22113,Competitor_49,4,5.81,47.62,3.89
a42bd4ed,Startup_46,EdTech,Sub_7,Mumbai,Telangana,2001,Founder_861,Series A,Convertible Note,7382230,7,Investor_412,Investor_603,84921169,4152497,No,391,IoT,Product_11,91033,18.22,No,,2020-06-05,http://example.com/pitchdeck/46,64399,Competitor_49,7,6.81,27.91,8.39
7dddde97,Startup_47,EdTech,Sub_3,Chennai,Delhi,2011,Founder_346,Series C,Grant,1093791,9,Investor_486,Investor_892,85617344,3946169,Yes,380,IoT,Product_25,86463,40.78,No,,2022-08-23,http://example.com/pitchdeck/47,78609,Competitor_10,11,7.18,23.61,2.37
a5459ca9,Startup_48,EdTech,Sub_9,Hyderabad,Telangana,2015,Founder_380,Series D,Grant,7023928,8,Investor_141,Investor_506,44632956,1850099,No,371,AI,Product_2,41597,36.48,No,,2023-05-06,http://example.com/pitchdeck/48,95815,Competitor_55,16,9.52,46.06,1.56
65ade191,Startup_49,FinTech,Sub_4,Chennai,Karnataka,2006,Founder_621,Series D,Grant,574553,8,Investor_10,Investor_815,51000256,653465,Yes,446,IoT,Product_1,13781,14.52,Yes,,2019-04-23,http://example.com/pitchdeck/49,85131,Competitor_16,4,4.51,41.53,6.31
40539728,Startup_50,FinTech,Sub_3,Pune,Delhi,2014,Founder_146,Series C,Equity,6606903,6,Investor_120,Investor_548,14062438,2140418,No,134,Big Data,Product_48,8560,39.75,Yes,Acquirer_436,2022-11-13,http://example.com/pitchdeck/50,95744,Competitor_51,6,4.04,45.57,8.31
c926092b,Startup_51,FinTech,Sub_3,Delhi,Karnataka,2022,Founder_427,IPO,Debt,4287835,7,Investor_377,Investor_660,50882697,4919247,Yes,279,AI,Product_20,22421,40.65,Yes,,2022-06-03,http://example.com/pitchdeck/51,16341,Competitor_85,9,1.9,64.3,5.19
bc27ce69,Startup_52,FinTech,Sub_10,Chennai,Delhi,2013,Founder_414,Series C,Grant,6089148,7,Investor_95,Investor_645,13521879,4169596,No,113,AR/VR,Product_39,60407,20.35,Yes,,2021-01-18,http://example.com/pitchdeck/52,23815,Competitor_3,4,2.28,77.27,3.03
462ccd68,Startup_53,HealthTech,Sub_3,Bangalore,Delhi,2011,Founder_678,IPO,Convertible Note,1541783,7,Investor_474,Investor_927,51059696,3537374,No,239,Blockchain,Product_21,53187,42.93,Yes,Acquirer_439,2016-05-10,http://example.com/pitchdeck/53,59799,Competitor_99,14,1.24,61.27,6.77
7b85c7af,Startup_54,AgriTech,Sub_9,Delhi,Telangana,2003,Founder_943,Series C,Equity,1113719,10,Investor_49,Investor_821,34114095,1275849,Yes,222,Blockchain,Product_22,2629,40.25,Yes,,2018-06-28,http://example.com/pitchdeck/54,62569,Competitor_32,13,2.84,31.78,6.18
d15d4682,Startup_55,TravelTech,Sub_6,Pune,Tamil Nadu,2014,Founder_398,Series B,Grant,5971861,5,Investor_268,Investor_515,35393758,1462415,Yes,37,IoT,Product_43,52767,21.75,No,,2018-04-19,http://example.com/pitchdeck/55,69991,Competitor_17,19,3.58,39.43,3.8
738c44a0,Startup_56,TravelTech,Sub_8,Mumbai,Karnataka,2005,Founder_854,Series D,Convertible Note,4834387,2,Investor_64,Investor_946,94558117,1898832,No,350,Cloud,Product_10,34764,17.73,No,,2022-08-18,http://example.com/pitchdeck/56,36761,Competitor_11,3,8.02,46.64,8.7
f47190ee,Startup_57,EdTech,Sub_5,Chennai,Tamil Nadu,2001,Founder_549,Series B,Grant,9431124,1,Investor_63,Investor_969,11327563,186334,Yes,290,AI,Product_28,59155,10.7,No,,2015-08-15,http://example.com/pitchdeck/57,26263,Competitor_55,6,7.58,43.12,1.58
b5ca88aa,Startup_58,TravelTech,Sub_9,Delhi,Karnataka,2019,Founder_595,Seed,Debt,2626647,8,Investor_473,Investor_664,66412098,3230179,Yes,38,Cloud,Product_38,10507,43.65,Yes,,2019-05-21,http://example.com/pitchdeck/58,86842,Competitor_7,6,6.3,67.13,4.22
20a162de,Startup_59,EdTech,Sub_7,Pune,Tamil Nadu,2018,Founder_330,IPO,Grant,9016274,4,Investor_16,Investor_934,85202481,1972435,Yes,197,Blockchain,Product_33,10214,40.95,Yes,,2022-02-26,http://example.com/pitchdeck/59,53206,Competitor_27,14,5.05,78.26,8.31
8a472181,Startup_60,EdTech,Sub_3,Hyderabad,Delhi,2005,Founder_997,Series D,Convertible Note,9676626,10,Investor_62,Investor_950,48974347,2608498,No,77,AI,Product_29,5695,43.09,No,,2023-05-21,http://example.com/pitchdeck/60,15646,Competitor_55,16,5.73,59.76,7.04
1d873f14,Startup_61,HealthTech,Sub_10,Mumbai,Telangana,2001,Founder_410,IPO,Grant,9166580,4,Investor_353,Investor_775,72114096,3838138,No,207,Cloud,Product_29,84324,24.77,No,,2016-12-03,http://example.com/pitchdeck/61,6187,Competitor_10,8,1.92,68.16,1.24
9d2dbe51,Startup_62,EdTech,Sub_1,Mumbai,Telangana,2014,Founder_416,Series C,Debt,9785349,6,Investor_491,Investor_618,81226075,2914314,Yes,228,AR/VR,Product_34,10215,44.3,Yes,,2015-04-03,http://example.com/pitchdeck/62,24749,Competitor_54,4,7.31,23.2,7.14
10717da0,Startup_63,FoodTech,Sub_3,Bangalore,Delhi,2000,Founder_90,Series D,Debt,4507298,2,Investor_47,Investor_754,36367713,4036773,No,253,IoT,Product_25,60563,24.26,No,,2015-01-08,http://example.com/pitchdeck/63,94065,Competitor_45,15,6.41,70.81,1.06
83de341c,Startup_64,HealthTech,Sub_8,Hyderabad,Karnataka,2012,Founder_868,Series D,Grant,1677298,1,Investor_444,Investor_826,33650896,318963,Yes,337,Cloud,Product_7,22175,30.65,Yes,,2019-09-23,http://example.com/pitchdeck/64,99074,Competitor_18,12,4.37,36.47,5.53
7dfa942f,Startup_65,FoodTech,Sub_3,Chennai,Delhi,2006,Founder_820,Series C,Grant,8917749,8,Investor_60,Investor_837,51347540,953012,No,161,AI,Product_29,92139,32.08,Yes,,2015-04-15,http://example.com/pitchdeck/65,17013,Competitor_68,15,4.62,58.15,5.88
bd37f2e3,Startup_66,FinTech,Sub_7,Mumbai,Karnataka,2010,Founder_430,Series B,Grant,1044013,6,Investor_209,Investor_769,92497283,4890867,No,30,Cloud,Product_44,58528,45.22,Yes,,2023-12-12,http://example.com/pitchdeck/66,69640,Competitor_84,9,2.8,30.43,3.97
f1006b71,Startup_67,AgriTech,Sub_6,Hyderabad,Karnataka,2020,Founder_790,Series D,Convertible Note,9150884,9,Investor_289,Investor_659,26274131,3173499,No,303,Big Data,Product_16,28584,17.11,No,,2023-08-13,http://example.com/pitchdeck/67,89716,Competitor_27,13,6.69,49.73,2.5
3fd1b967,Startup_68,TravelTech,Sub_2,Mumbai,Delhi,2010,Founder_375,Series A,Equity,9985123,6,Investor_32,Investor_608,97651961,1048098,Yes,47,Big Data,Product_48,13285,9.55,Yes,,2015-09-03,http://example.com/pitchdeck/68,94421,Competitor_41,15,8.39,28.37,6.35
91159504,Startup_69,TravelTech,Sub_3,Hyderabad,Karnataka,2023,Founder_180,Seed,Convertible Note,9659710,7,Investor_78,Investor_577,1908211,776083,No,33,Cloud,Product_4,19106,8.91,Yes,,2017-02-01,http://example.com/pitchdeck/69,81907,Competitor_92,2,7.59,37.57,4.1
358f65e0,Startup_70,Retail,Sub_1,Mumbai,Maharashtra,2023,Founder_636,Series D,Equity,4835420,3,Investor_422,Investor_971,8467615,3839487,No,178,AR/VR,Product_13,5077,47.48,No,,2017-01-02,http://example.com/pitchdeck/70,79361,Competitor_61,8,2.72,20.26,6.25
b2691a52,Startup_71,FinTech,Sub_8,Pune,Telangana,2021,Founder_431,Series C,Debt,1070984,10,Investor_490,Investor_780,69434916,3391950,No,64,AI,Product_28,65252,40.62,Yes,,2017-09-15,http://example.com/pitchdeck/71,44786,Competitor_73,11,7.59,40.47,5.43
da599083,Startup_72,FoodTech,Sub_4,Delhi,Maharashtra,2016,Founder_418,Series A,Convertible Note,2777652,3,Investor_69,Investor_887,72138951,1352080,No,479,AR/VR,Product_5,8796,13.53,No,,2017-02-27,http://example.com/pitchdeck/72,69326,Competitor_73,7,2.99,59.48,9.64
5fb92431,Startup_73,AgriTech,Sub_4,Delhi,Tamil Nadu,2017,Founder_456,Series B,Debt,6060118,5,Investor_95,Investor_955,54636478,2505172,Yes,257,Cloud,Product_40,19399,48.04,No,,2023-05-06,http://example.com/pitchdeck/73,10786,Competitor_59,16,6.05,76.75,6.27
dae73fb9,Startup_74,FinTech,Sub_9,Mumbai,Karnataka,2004,Founder_97,Series B,Convertible Note,7008387,5,Investor_237,Investor_822,98664758,3316611,No,309,Blockchain,Product_18,29942,18.05,No,,2021-01-21,http://example.com/pitchdeck/74,20616,Competitor_10,1,7.31,45.69,9.47
50187d0a,Startup_75,FoodTech,Sub_3,Mumbai,Karnataka,2006,Founder_206,Series A,Grant,7650389,4,Investor_330,Investor_526,58708375,115369,Yes,96,Big Data,Product_10,58609,22.41,Yes,,2022-08-26,http://example.com/pitchdeck/75,84682,Competitor_66,0,4.13,40.0,2.05
95dc451c,Startup_76,Retail,Sub_2,Pune,Karnataka,2019,Founder_91,Series A,Equity,9255429,7,Investor_381,Investor_590,77221075,1799015,Yes,135,Cloud,Product_8,37072,8.26,No,Acquirer_244,2019-08-16,http://example.com/pitchdeck/76,66549,Competitor_28,13,9.81,47.75,9.16
38f3ca2f,Startup_77,EdTech,Sub_8,Delhi,Delhi,2000,Founder_647,Series A,Grant,1499798,6,Investor_285,Investor_555,38736110,4233757,Yes,266,Blockchain,Product_39,25318,32.55,No,,2019-04-27,http://example.com/pitchdeck/77,64577,Competitor_21,13,8.55,64.87,8.61
6ab56fd5,Startup_78,HealthTech,Sub_9,Chennai,Karnataka,2017,Founder_784,Seed,Equity,4473953,6,Investor_133,Investor_690,13154603,4985526,Yes,275,AI,Product_6,19391,27.02,No,,2018-11-09,http://example.com/pitchdeck/78,38597,Competitor_81,2,6.07,70.48,3.59
5af1898a,Startup_79,EdTech,Sub_4,Bangalore,Karnataka,2007,Founder_159,Series C,Equity,5630329,3,Investor_293,Investor_653,44556991,4919280,Yes,375,AI,Product_23,34094,6.14,No,,2017-07-23,http://example.com/pitchdeck/79,97142,Competitor_29,12,6.57,69.25,4.18
8d4f74d0,Startup_80,FoodTech,Sub_5,Pune,Delhi,2022,Founder_115,Series D,Equity,7062660,2,Investor_453,Investor_944,47338350,2459397,Yes,332,Cloud,Product_22,74726,40.54,No,,2023-10-04,http://example.com/pitchdeck/80,19332,Competitor_48,19,5.45,51.43,6.39
f545c312,Startup_81,FinTech,Sub_6,Mumbai,Tamil Nadu,2006,Founder_213,Series B,Equity,4607073,10,Investor_29,Investor_519,18136921,286554,No,483,AR/VR,Product_5,35963,38.24,No,,2016-10-16,http://example.com/pitchdeck/81,74176,Competitor_74,5,8.61,40.37,8.76
025d3ae7,Startup_82,TravelTech,Sub_5,Pune,Telangana,2007,Founder_653,IPO,Grant,2148923,2,Investor_160,Investor_837,60411718,1756146,Yes,283,IoT,Product_6,34971,9.75,Yes,,2020-05-17,http://example.com/pitchdeck/82,5429,Competitor_85,13,7.75,29.47,2.36
37ef2dcb,Startup_83,TravelTech,Sub_1,Delhi,Telangana,2009,Founder_541,Seed,Convertible Note,1736602,1,Investor_318,Investor_595,69165195,3753476,Yes,473,IoT,Product_36,63058,16.58,Yes,Acquirer_408,2021-02-07,http://example.com/pitchdeck/83,22644,Competitor_85,20,6.66,66.75,6.89
2b8ccfe2,Startup_84,Retail,Sub_1,Delhi,Delhi,2011,Founder_661,Series D,Debt,399479,5,Investor_235,Investor_966,17771661,1644111,Yes,496,AR/VR,Product_17,37941,29.61,No,,2017-05-12,http://example.com/pitchdeck/84,27821,Competitor_74,13,2.8,59.9,4.21
fe373a34,Startup_85,AgriTech,Sub_9,Mumbai,Delhi,2017,Founder_728,Series C,Debt,7284461,3,Investor_90,Investor_958,82937856,149409,No,373,AI,Product_1,62728,7.14,Yes,Acquirer_598,2019-06-16,http://example.com/pitchdeck/85,91431,Competitor_21,12,7.79,74.28,5.62
43d4a142,Startup_86,FoodTech,Sub_10,Delhi,Telangana,2015,Founder_617,Seed,Convertible Note,5511130,9,Investor_285,Investor_544,78514395,1310403,No,316,Cloud,Product_43,95991,31.78,No,,2022-06-16,http://example.com/pitchdeck/86,30791,Competitor_9,11,2.05,55.4,4.78
a2e35752,Startup_87,FinTech,Sub_6,Bangalore,Tamil Nadu,2022,Founder_417,Series A,Equity,8064924,7,Investor_195,Investor_856,32371861,816449,Yes,492,Cloud,Product_50,54588,24.72,No,,2020-09-04,http://example.com/pitchdeck/87,55293,Competitor_42,2,6.47,42.36,7.7
204bcf7e,Startup_88,FoodTech,Sub_7,Bangalore,Karnataka,2012,Founder_118,Series C,Equity,4958962,4,Investor_372,Investor_630,84671396,710396,Yes,60,AI,Product_13,37615,8.32,Yes,,2021-04-27,http://example.com/pitchdeck/88,39645,Competitor_64,8,1.25,56.15,9.71
